HDI rank;Country;HDI;LifeExpectancy;ExpectedSchoolingYears;MeanSchoolingYears;GNIperCapita;LastYearRank;Category
1;Norway;0,954;82,3;18,1;12,6;68.059;1;VERY HIGH HDI
2;Switzerland;0,946;83,6;16,2;13,4;59.375;2;VERY HIGH HDI
3;Ireland;0,942;82,1;18,8;12,5;55.660;3;VERY HIGH HDI
4;Germany;0,939;81,2;17,1;14,1;46.946;4;VERY HIGH HDI
5;Hong Kong China (SAR);0,939;84,7;16,5;12,0;60.221;6;VERY HIGH HDI
6;Australia;0,938;83,3;22,1;12,7;44.097;5;VERY HIGH HDI
7;Iceland;0,938;82,9;19,2;12,5;47.566;7;VERY HIGH HDI
8;Sweden;0,937;82,7;18,8;12,4;47.955;7;VERY HIGH HDI
9;Singapore;0,935;83,5;16,3;11,5;83.793;9;VERY HIGH HDI
10;Netherlands;0,933;82,1;18,0;12,2;50.013;10;VERY HIGH HDI
11;Denmark;0,930;80,8;19,1;12,6;48.836;11;VERY HIGH HDI
12;Finland;0,925;81,7;19,3;12,4;41.779;12;VERY HIGH HDI
13;Canada;0,922;82,3;16,1;13,3;43.602;13;VERY HIGH HDI
14;New Zealand;0,921;82,1;18,8;12,7;35.108;14;VERY HIGH HDI
15;United Kingdom;0,920;81,2;17,4;13,0;39.507;15;VERY HIGH HDI
16;United States;0,920;78,9;16,3;13,4;56.140;15;VERY HIGH HDI
17;Belgium;0,919;81,5;19,7;11,8;43.821;17;VERY HIGH HDI
18;Liechtenstein;0,917;80,5;14,7;12,5;99.732;18;VERY HIGH HDI
19;Japan;0,915;84,5;15,2;12,8;40.799;19;VERY HIGH HDI
20;Austria;0,914;81,4;16,3;12,6;46.231;20;VERY HIGH HDI
21;Luxembourg;0,909;82,1;14,2;12,2;65.543;21;VERY HIGH HDI
22;Israel;0,906;82,8;16,0;13,0;33.650;22;VERY HIGH HDI
23;Korea (Republic of);0,906;82,8;16,4;12,2;36.757;22;VERY HIGH HDI
24;Slovenia;0,902;81,2;17,4;12,3;32.143;24;VERY HIGH HDI
25;Spain;0,893;83,4;17,9;9,8;35.041;25;VERY HIGH HDI
26;Czechia;0,891;79,2;16,8;12,7;31.597;27;VERY HIGH HDI
27;France;0,891;82,5;15,5;11,4;40.511;26;VERY HIGH HDI
28;Malta;0,885;82,4;15,9;11,3;34.795;28;VERY HIGH HDI
29;Italy;0,883;83,4;16,2;10,2;36.141;29;VERY HIGH HDI
30;Estonia;0,882;78,6;16,1;13,0;30.379;30;VERY HIGH HDI
31;Cyprus;0,873;80,8;14,7;12,1;33.100;31;VERY HIGH HDI
32;Greece;0,872;82,1;17,3;10,5;24.909;31;VERY HIGH HDI
33;Poland;0,872;78,5;16,4;12,3;27.626;33;VERY HIGH HDI
34;Lithuania;0,869;75,7;16,5;13,0;29.775;34;VERY HIGH HDI
35;United Arab Emirates;0,866;77,8;13,6;11,0;66.912;35;VERY HIGH HDI
36;Andorra;0,857;81,8;13,3;10,2;48.641;38;VERY HIGH HDI
37;Saudi Arabia;0,857;75,0;17,0;9,7;49.338;36;VERY HIGH HDI
38;Slovakia;0,857;77,4;14,5;12,6;30.672;37;VERY HIGH HDI
39;Latvia;0,854;75,2;16,0;12,8;26.301;39;VERY HIGH HDI
40;Portugal;0,850;81,9;16,3;9,2;27.935;40;VERY HIGH HDI
41;Qatar;0,848;80,1;12,2;9,7;110.489;40;VERY HIGH HDI
42;Chile;0,847;80,0;16,5;10,4;21.972;42;VERY HIGH HDI
43;Brunei Darussalam;0,845;75,7;14,4;9,1;76.389;43;VERY HIGH HDI
44;Hungary;0,845;76,7;15,1;11,9;27.144;44;VERY HIGH HDI
45;Bahrain;0,838;77,2;15,3;9,4;40.399;45;VERY HIGH HDI
46;Croatia;0,837;78,3;15,0;11,4;23.061;46;VERY HIGH HDI
47;Oman;0,834;77,6;14,7;9,7;37.039;47;VERY HIGH HDI
48;Argentina;0,830;76,5;17,6;10,6;17.611;48;VERY HIGH HDI
49;Russian Federation;0,824;72,4;15,5;12,0;25.036;49;VERY HIGH HDI
50;Belarus;0,817;74,6;15,4;12,3;17.039;50;VERY HIGH HDI
51;Kazakhstan;0,817;73,2;15,3;11,8;22.168;51;VERY HIGH HDI
52;Bulgaria;0,816;74,9;14,8;11,8;19.646;51;VERY HIGH HDI
53;Montenegro;0,816;76,8;15,0;11,4;17.511;51;VERY HIGH HDI
54;Romania;0,816;75,9;14,3;11,0;23.906;51;VERY HIGH HDI
55;Palau;0,814;73,7;15,6;12,4;16.720;56;VERY HIGH HDI
56;Barbados;0,813;79,1;15,2;10,6;15.912;51;VERY HIGH HDI
57;Kuwait;0,808;75,4;13,8;7,3;71.164;57;VERY HIGH HDI
58;Uruguay;0,808;77,8;16,3;8,7;19.435;58;VERY HIGH HDI
59;Turkey;0,806;77,4;16,4;7,7;24.905;59;VERY HIGH HDI
60;Bahamas;0,805;73,8;12,8;11,5;28.395;60;VERY HIGH HDI
61;Malaysia;0,804;76,0;13,5;10,2;27.227;61;VERY HIGH HDI
62;Seychelles;0,801;73,3;15,5;9,7;25.077;62;VERY HIGH HDI
63;Serbia;0,799;75,8;14,8;11,2;15.218;65;HIGH HDI
64;Trinidad and Tobago;0,799;73,4;13,0;11,0;28.497;63;HIGH HDI
65;Iran (Islamic Republic of);0,797;76,5;14,7;10,0;18.166;63;HIGH HDI
66;Mauritius;0,796;74,9;15,0;9,4;22.724;66;HIGH HDI
67;Panama;0,795;78,3;12,9;10,2;20.455;66;HIGH HDI
68;Costa Rica;0,794;80,1;15,4;8,7;14.790;68;HIGH HDI
69;Albania;0,791;78,5;15,2;10,1;12.300;69;HIGH HDI
70;Georgia;0,786;73,6;15,4;12,8;9.570;70;HIGH HDI
71;Sri Lanka;0,780;76,8;14,0;11,1;11.611;72;HIGH HDI
72;Cuba;0,778;78,7;14,4;11,8;7.811;71;HIGH HDI
73;Saint Kitts and Nevis;0,777;74,6;13,6;8,5;26.770;73;HIGH HDI
74;Antigua and Barbuda;0,776;76,9;12,5;9,3;22.201;73;HIGH HDI
75;Bosnia and Herzegovina;0,769;77,3;13,8;9,7;12.690;75;HIGH HDI
76;Mexico;0,767;75,0;14,3;8,6;17.628;76;HIGH HDI
77;Thailand;0,765;76,9;14,7;7,7;16.129;77;HIGH HDI
78;Grenada;0,763;72,4;16,6;8,8;12.684;78;HIGH HDI
79;Brazil;0,761;75,7;15,4;7,8;14.068;78;HIGH HDI
80;Colombia;0,761;77,1;14,6;8,3;12.896;78;HIGH HDI
81;Armenia;0,760;74,9;13,2;11,8;9.277;81;HIGH HDI
82;Algeria;0,759;76,7;14,7;8,0;13.639;81;HIGH HDI
83;North Macedonia;0,759;75,7;13,5;9,7;12.874;81;HIGH HDI
84;Peru;0,759;76,5;13,8;9,2;12.323;85;HIGH HDI
85;China;0,758;76,7;13,9;7,9;16.127;86;HIGH HDI
86;Ecuador;0,758;76,8;14,9;9,0;10.141;84;HIGH HDI
87;Azerbaijan;0,754;72,9;12,4;10,5;15.240;87;HIGH HDI
88;Ukraine;0,750;72,0;15,1;11,3;7.994;88;HIGH HDI
89;Dominican Republic;0,745;73,9;14,1;7,9;15.074;90;HIGH HDI
90;Saint Lucia;0,745;76,1;13,9;8,5;11.528;89;HIGH HDI
91;Tunisia;0,739;76,5;15,1;7,2;10.677;91;HIGH HDI
92;Mongolia;0,735;69,7;14,2;10,2;10.784;94;HIGH HDI
93;Lebanon;0,730;78,9;11,3;8,7;11.136;93;HIGH HDI
94;Botswana;0,728;69,3;12,7;9,3;15.951;97;HIGH HDI
95;Saint Vincent and the Grenadines;0,728;72,4;13,6;8,6;11.746;95;HIGH HDI
96;Jamaica;0,726;74,4;13,1;9,8;7.932;96;HIGH HDI
97;Venezuela (Bolivarian Republic of);0,726;72,1;12,8;10,3;9.070;92;HIGH HDI
98;Dominica;0,724;78,1;13,0;7,8;9.245;98;HIGH HDI
99;Fiji;0,724;67,3;14,4;10,9;9.110;102;HIGH HDI
100;Paraguay;0,724;74,1;12,7;8,5;11.720;99;HIGH HDI
101;Suriname;0,724;71,6;12,9;9,1;11.933;99;HIGH HDI
102;Jordan;0,723;74,4;11,9;10,5;8.268;99;HIGH HDI
103;Belize;0,720;74,5;13,1;9,8;7.136;103;HIGH HDI
104;Maldives;0,719;78,6;12,1;6,8;12.549;105;HIGH HDI
105;Tonga;0,717;70,8;14,3;11,2;5.783;104;HIGH HDI
106;Philippines;0,712;71,1;12,7;9,4;9.540;106;HIGH HDI
107;Moldova (Republic of);0,711;71,8;11,6;11,6;6.833;106;HIGH HDI
108;Turkmenistan;0,710;68,1;10,9;9,8;16.407;108;HIGH HDI
109;Uzbekistan;0,710;71,6;12,0;11,5;6.462;109;HIGH HDI
110;Libya;0,708;72,7;12,8;7,6;11.685;111;HIGH HDI
111;Indonesia;0,707;71,5;12,9;8,0;11.256;111;HIGH HDI
112;Samoa;0,707;73,2;12,5;10,6;5.885;110;HIGH HDI
113;South Africa;0,705;63,9;13,7;10,2;11.756;111;HIGH HDI
114;Bolivia (Plurinational State of);0,703;71,2;14,0;9,0;6.849;114;HIGH HDI
115;Gabon;0,702;66,2;12,9;8,3;15.794;114;HIGH HDI
116;Egypt;0,700;71,8;13,1;7,3;10.744;116;HIGH HDI
117;Marshall Islands;0,698;73,9;12,4;10,9;4.633;116;MEDIUM HDI
118;Viet Nam;0,693;75,3;12,7;8,2;6.220;118;MEDIUM HDI
119;State of Palestine;0,690;73,9;12,8;9,1;5.314;119;MEDIUM HDI
120;Iraq;0,689;70,5;11,1;7,3;15.365;120;MEDIUM HDI
121;Morocco;0,676;76,5;13,1;5,5;7.480;121;MEDIUM HDI
122;Kyrgyzstan;0,674;71,3;13,4;10,9;3.317;122;MEDIUM HDI
123;Guyana;0,670;69,8;11,5;8,5;7.615;123;MEDIUM HDI
124;El Salvador;0,667;73,1;12,0;6,9;6.973;124;MEDIUM HDI
125;Tajikistan;0,656;70,9;11,4;10,7;3.482;126;MEDIUM HDI
126;Cabo Verde;0,651;72,8;11,9;6,2;6.513;128;MEDIUM HDI
127;Guatemala;0,651;74,1;10,6;6,5;7.378;127;MEDIUM HDI
128;Nicaragua;0,651;74,3;12,2;6,8;4.790;125;MEDIUM HDI
129;India;0,647;69,4;12,3;6,5;6.829;129;MEDIUM HDI
130;Namibia;0,645;63,4;12,6;6,9;9.683;129;MEDIUM HDI
131;Timor-Leste;0,626;69,3;12,4;4,5;7.527;131;MEDIUM HDI
132;Honduras;0,623;75,1;10,2;6,6;4.258;133;MEDIUM HDI
133;Kiribati;0,623;68,1;11,8;7,9;3.917;132;MEDIUM HDI
134;Bhutan;0,617;71,5;12,1;3,1;8.609;134;MEDIUM HDI
135;Bangladesh;0,614;72,3;11,2;6,1;4.057;136;MEDIUM HDI
136;Micronesia (Federated States of);0,614;67,8;11,5;7,7;3.700;135;MEDIUM HDI
137;Sao Tome and Principe;0,609;70,2;12,7;6,4;3.024;138;MEDIUM HDI
138;Congo;0,608;64,3;11,6;6,5;5.804;136;MEDIUM HDI
139;Eswatini (Kingdom of);0,608;59,4;11,4;6,7;9.359;138;MEDIUM HDI
140;Lao People's Democratic Republic;0,604;67,6;11,1;5,2;6.317;140;MEDIUM HDI
141;Vanuatu;0,597;70,3;11,4;6,8;2.808;141;MEDIUM HDI
142;Ghana;0,596;63,8;11,5;7,2;4.099;142;MEDIUM HDI
143;Zambia;0,591;63,5;12,1;7,1;3.582;144;MEDIUM HDI
144;Equatorial Guinea;0,588;58,4;9,2;5,6;17.796;143;MEDIUM HDI
145;Myanmar;0,584;66,9;10,3;5,0;5.764;146;MEDIUM HDI
146;Cambodia;0,581;69,6;11,3;4,8;3.597;145;MEDIUM HDI
147;Kenya;0,579;66,3;11,1;6,6;3.052;148;MEDIUM HDI
148;Nepal;0,579;70,5;12,2;4,9;2.748;148;MEDIUM HDI
149;Angola;0,574;60,8;11,8;5,1;5.555;147;MEDIUM HDI
150;Cameroon;0,563;58,9;12,7;6,3;3.291;150;MEDIUM HDI
151;Zimbabwe;0,563;61,2;10,5;8,3;2.661;153;MEDIUM HDI
152;Pakistan;0,560;67,1;8,5;5,2;5.190;151;MEDIUM HDI
153;Solomon Islands;0,557;72,8;10,2;5,5;2.027;152;MEDIUM HDI
154;Syrian Arab Republic;0,549;71,8;8,9;5,1;2.725;154;LOW HDI
155;Papua New Guinea;0,543;64,3;10,0;4,6;3.686;155;LOW HDI
156;Comoros;0,538;64,1;11,2;4,9;2.426;156;LOW HDI
157;Rwanda;0,536;68,7;11,2;4,4;1.959;158;LOW HDI
158;Nigeria;0,534;54,3;9,7;6,5;5.086;157;LOW HDI
159;Tanzania (United Republic of);0,528;65,0;8,0;6,0;2.805;160;LOW HDI
160;Uganda;0,528;63,0;11,2;6,1;1.752;160;LOW HDI
161;Mauritania;0,527;64,7;8,5;4,6;3.746;159;LOW HDI
162;Madagascar;0,521;66,7;10,4;6,1;1.404;162;LOW HDI
163;Benin;0,520;61,5;12,6;3,8;2.135;163;LOW HDI
